thread_id,topic,intent,inbound,brand_reply
t0,checkin boarding,checkin_boarding,"@customer: @AmericanAir cant check in flight AA1717, app error, leaves in 2 hours","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t1,baggage,baggage,"@customer: @AmericanAir bag missing since yesterday flight AA2357 at PHX, tag P4DHW8",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t2,flight delay,flight_delay,@customer: aa aa645 delayed need hotel tonight in ord who pays? pls help asap,Sorry for the delay on AA645. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t3,cancellation,cancellation,"@customer: flight AA344 cancelled, stranded in LAX tonight, help",Sorry your flight AA344 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t4,baggage,baggage,"@customer: @AmericanAir bag missing since yesterday flight AA2452 at PHX, tag KRLQVC",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t5,booking change,booking_change,@customer: @AmericanAir can I switch seat / add bag on booking BX2U6L?,You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t6,complaint service,complaint_service,"@customer: @AmericanAir crew on AA483 was rude to my mother, unacceptable",I am sorry you experienced this on AA483. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t7,checkin boarding,checkin_boarding,"@customer: @AmericanAir cant check in flight AA1991, app error, leaves in 2 hours","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t8,cancellation,cancellation,"@customer: @AmericanAir you cancelled flight AA1939 to PHX today, need rebook ASAP",Sorry your flight AA1939 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t9,booking change,booking_change,"@customer: @AmericanAir need to change flight AA1050 to tomorrow, fare difference?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t10,booking change,booking_change,"@customer: change name spelling on reservation 8WZQ58, how?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
